,site_code,microsite_number,microsite,shrub_density,plot_cover,year,animals,richness,mean_temp,aridity,Shannon,Species_Richness,Evenness
1,Carrizo_3,1,Shrub,11,83.37166438,2022,142,5,23.41833333,3.493333333,0.293835706,4,0.211957658
3,Carrizo_3,2,Shrub,12,64.27894919,2022,153,6,23.41833333,3.493333333,0.671708074,5,0.417355692
5,Carrizo_4,1,Shrub,11,69.85433367,2022,169,6,24.49041667,3.070967742,0.439863401,4,0.317294374
7,Carrizo_4,2,Shrub,10,67.6175197,2022,128,7,24.49041667,3.070967742,0.914447189,6,0.510362693
9,Cuyama_1,1,Shrub,14,114.0546574,2022,62,13,23.6375697,3.701388889,1.852828323,11,0.772689426
11,Cuyama_1,2,Shrub,13,136.5662893,2022,143,14,23.6375697,3.701388889,1.556115671,10,0.675812449
13,Cuyama_2,1,Shrub,11,103.3696295,2022,444,10,23.85165257,3.701388889,0.701701423,9,0.31935808
15,Cuyama_2,2,Shrub,11,94.61754506,2022,701,10,23.85165257,3.701388889,0.866953577,9,0.394567577
21,Tecopa_shrub,1,Shrub,10,10.99306101,2022,7,2,31.41470111,0.36492891,0,1,0
22,Tecopa_shrub,2,Shrub,11,19.9190326,2022,2,2,31.41470111,0.36492891,0.693147181,2,1
23,Tecopa_shrub,3,Shrub,11,12.83992479,2022,39,1,31.41470111,0.36492891,0,1,0
24,Tecopa_shrub,4,Shrub,10,6.871762691,2022,2,2,31.41470111,0.36492891,0,1,0
2,Carrizo_3,1,Open,0,0,2022,26,4,23.89,3.493333333,0.589280064,4,0.425075713
4,Carrizo_3,2,Open,0,0,2022,108,5,23.89,3.493333333,0.591268384,4,0.426509983
6,Carrizo_4,1,Open,0,0,2022,25,6,24.39850094,3.070967742,1.398920394,5,0.869198111
8,Carrizo_4,2,Open,0,0,2022,131,8,24.39850094,3.070967742,0.880133523,7,0.452299158
10,Cuyama_1,1,Open,0,0,2022,253,13,21.77002882,3.701388889,1.316423079,11,0.548991065
12,Cuyama_1,2,Open,0,0,2022,145,11,21.77002882,3.701388889,1.228631169,10,0.533587737
14,Cuyama_2,1,Open,0,0,2022,276,11,21.92255957,3.701388889,0.674939388,8,0.324577236
16,Cuyama_2,2,Open,0,0,2022,210,12,21.92255957,3.701388889,1.165428458,9,0.530409349
17,Tecopa_open,1,Open,0,0,2022,0,0,31.33682766,0.36492891,0,0,0
18,Tecopa_open,2,Open,0,0,2022,1,1,31.33682766,0.36492891,0,1,0
19,Tecopa_open,3,Open,0,0,2022,2,2,31.33682766,0.36492891,0.693147181,2,1
20,Tecopa_open,4,Open,0,0,2022,0,0,31.33682766,0.36492891,0,0,0